Query: 4号大街与9号大街交叉口西侧盛泰北(2门), Truth: 盛泰·时代山(北2门),通行设施,临街院门,临街院正门,4号大街189号,江干区, Distance: 664
	- POI: 4号大街与9号大街交叉口,地名地址信息,交通地名,路口名,江干区,江干区, Distance: 641
	- POI: 李宁(紫丁香街),购物服务,体育用品店,李宁专卖店,紫丁香街113-115号,江干区, Distance: 626
	- POI: 玉华烟酒商行(紫丁香街),购物服务,专卖店,烟酒专卖店,紫丁香街76号,江干区, Distance: 627
	- POI: 燃情地带(紫丁香街),购物服务,服装鞋帽皮具店,服装鞋帽皮具店,紫丁香街111号,江干区, Distance: 629
	- POI: 蕙兰雅路紫丁香街口(公交站),交通设施服务,公交车站,公交车站相关,125路,1902路,江干区, Distance: 607
	- POI: 紫丁香街与长虹路交叉口,地名地址信息,交通地名,路口名,江干区,江干区, Distance: 714
	- POI: 益万家药房(紫丁香街店),医疗保健服务,医药保健销售店,药房,紫丁香街246-248号,江干区, Distance: 486
	- POI: 房友(紫丁香街),生活服务,中介机构,中介机构,紫丁香街238-240号,江干区, Distance: 487
	- POI: 停车场(紫丁香街),交通设施服务,停车场,路边停车场,惠兰雅路621号附近,江干区, Distance: 490
	- POI: 紫丁香街,地名地址信息,交通地名,道路名,江干区,江干区, Distance: 502
	- POI: 放心早餐店(紫丁香街),餐饮服务,中餐厅,中餐厅,丁桥镇紫丁香街229号,江干区, Distance: 513
	- POI: 丁兰路与紫丁香街交叉口,地名地址信息,交通地名,路口名,江干区,江干区, Distance: 514
Query: 23号搭接和18号大街交叉口公司北大门, Truth: 摩菲伊肯控制技术(杭州)有限公司(北门),通行设施,临街院门,临街院门,下沙经济开发区23号大街77号,江干区, Distance: 900
	- POI: 18号大街与23号大街交叉口,地名地址信息,交通地名,路口名,江干区,江干区, Distance: 950
	- POI: 18号大街与3号大街交叉口,地名地址信息,交通地名,路口名,江干区,江干区, Distance: 3516
	- POI: 18号大街与21号大街交叉口,地名地址信息,交通地名,路口名,江干区,江干区, Distance: 842
	- POI: 14号大街与23号大街交叉口,交通设施服务,交通服务相关,交通服务相关,世茂广场2幢3单元,江干区, Distance: 1654
	- POI: 14号大街与23号大街交叉口,地名地址信息,交通地名,路口名,江干区,江干区, Distance: 1755
	- POI: 12号大街与23号大街交叉口,地名地址信息,交通地名,路口名,江干区,江干区, Distance: 2317
	- POI: 公建北区3号路与2号大街交叉口,地名地址信息,交通地名,路口名,江干区,江干区, Distance: 4627
	- POI: 巡逻通道与18号大街交叉口,地名地址信息,交通地名,路口名,江干区,江干区, Distance: 843
	- POI: 18号大街与5号大街交叉口,地名地址信息,交通地名,路口名,江干区,江干区, Distance: 3083
	- POI: 12号大街与3号大街交叉口,地名地址信息,交通地名,路口名,江干区,江干区, Distance: 3557
	- POI: 凌浩路与18号大街交叉口,地名地址信息,交通地名,路口名,江干区,江干区, Distance: 3953
	- POI: 3号大街与8号大街交叉口,地名地址信息,交通地名,路口名,江干区,江干区, Distance: 4002
	- POI: 1号大街与18号大街交叉口,地名地址信息,交通地名,路口名,江干区,江干区, Distance: 4383
	- POI: 七格路与18号大街交叉口,地名地址信息,交通地名,路口名,江干区,江干区, Distance: 4392
	- POI: 24号大街与27号大街交叉口,地名地址信息,交通地名,路口名,江干区,江干区, Distance: 79
	- POI: 16号大街与3号大街交叉口,地名地址信息,交通地名,路口名,江干区,江干区, Distance: 3497
	- POI: 14号大街与3号大街交叉口,地名地址信息,交通地名,路口名,江干区,江干区, Distance: 3512
	- POI: 21号大街与22号大街交叉口,地名地址信息,交通地名,路口名,江干区,江干区, Distance: 481
	- POI: 10号大街与3号大街交叉口,地名地址信息,交通地名,路口名,江干区,江干区, Distance: 3796
	- POI: 20号大街与21号大街交叉口,地名地址信息,交通地名,路口名,江干区,江干区, Distance: 497
Query: 杭州市人民小学北面崇盛里小区7号楼, Truth: 崇盛里7幢,地名地址信息,门牌信息,楼栋号,上塘路977号,拱墅区, Distance: 458
	- POI: 杭州市人民小学(北门),通行设施,临街院门,临街院门,上塘路977-1号附近,拱墅区, Distance: 411
	- POI: 杭州市人民小学(西南门),通行设施,临街院门,临街院正门,新昌路137号,拱墅区, Distance: 328
	- POI: 杭州市人民小学,科教文化服务,学校,小学,新昌路137号,拱墅区, Distance: 375
	- POI: 杭州市第二人民医院教学楼17幢,地名地址信息,门牌信息,楼栋号,拱宸桥温州路126号,拱墅区, Distance: 342
	- POI: 杭州市拱墅区人民法院,政府机构及社会团体,公检法机构,法院,台州路1号,拱墅区, Distance: 99
	- POI: 杭州市第二人民医院西侧地面停车场,交通设施服务,停车场,停车场相关,温州路128号,拱墅区, Distance: 227
	- POI: 杭州市第七人民医院6号楼,医疗保健服务,综合医院,综合医院,丰潭路与天目山路交叉口东南150米,西湖区, Distance: 6209
	- POI: 杭州市第七人民医院3号楼(东北门),通行设施,临街院门,临街院门,天目山路305号,西湖区, Distance: 6311
	- POI: 杭州市拱墅区人民检察院,政府机构及社会团体,公检法机构,检察院,台州路1号,拱墅区, Distance: 138
	- POI: 杭州市拱墅区人民法院执行局,政府机构及社会团体,公检法机构,法院,金华路88号尚品商务楼6层,拱墅区, Distance: 144
	- POI: 杭州市第二人民医院-医疗综合楼,医疗保健服务,综合医院,综合医院,温州路与金华路交叉口西北50米,拱墅区, Distance: 92
	- POI: 杭州市第二人民医院放射科7幢,地名地址信息,门牌信息,楼栋号,拱宸桥温州路126号,拱墅区, Distance: 255
	- POI: 杭州市第二人民医院药剂楼9幢,地名地址信息,门牌信息,楼栋号,拱宸桥温州路126号,拱墅区, Distance: 283
	- POI: 杭州市拱宸桥小学左岸校区(东南门),通行设施,临街院门,临街院正门,永庆路88号,拱墅区, Distance: 847
	- POI: 杭州市拱墅区中小学社会实践活动基地,科教文化服务,科教文化场所,科教文化场所,桥弄街8号附近,拱墅区, Distance: 441
	- POI: 杭州市朝晖实验小学朝晖五校区,科教文化服务,科教文化场所,科教文化场所,朝晖五小区46号,下城区, Distance: 4104
	- POI: 杭州市第二人民医院(温州路),医疗保健服务,综合医院,三级甲等医院,温州路126号,拱墅区, Distance: 235
	- POI: 杭州市第七人民医院3号住院楼(西北门),通行设施,建筑物门,建筑物正门,[],西湖区, Distance: 6313
	- POI: 杭州市树人小学(西门),通行设施,临街院门,临街院正门,新昌路18号,拱墅区, Distance: 646
	- POI: 杭州市树人小学,科教文化服务,学校,小学,新昌路18号,拱墅区, Distance: 679
Query: 保利国际会所北停车场, Truth: 国家电网杭州供电公司停车场,交通设施服务,停车场,公共停车场,建国中路229号,上城区, Distance: 18316
	- POI: 杭州保利国际娱乐会所停车场,交通设施服务,停车场,公共停车场,建国中路217,上城区, Distance: 18322
	- POI: 保利·东湾东区北停车场西3(出入口),交通设施服务,停车场,停车场出入口,24号大街与27号大街交叉口东北100米,江干区, Distance: 252
	- POI: 保利湾天地-西停车场,交通设施服务,停车场,停车场相关,下沙经济技术开发区保利湾天地,江干区, Distance: 49
	- POI: 保利·东湾东区东3停车场,交通设施服务,停车场,停车场相关,之江东路与27号大街交叉口北200米,江干区, Distance: 475
	- POI: 保利·东湾东区东三停车场(北出入口),交通设施服务,停车场,停车场出入口,之江东路西150米,江干区, Distance: 495
	- POI: 保利湾天地东停车场(出入口),交通设施服务,停车场,停车场出入口,秋潮弄与秋潮路交叉口东南50米,江干区, Distance: 91
	- POI: 杭州和平国际会展中心停车场(出入口),交通设施服务,停车场,停车场出入口,潮王路与绍兴路交叉口东北150米,下城区, Distance: 18863
	- POI: 杭州和平国际会展中心停车场,交通设施服务,停车场,公共停车场,绍兴路158号和平广场附近,下城区, Distance: 18864
	- POI: 杭州和平国际会展中心停车场,交通设施服务,停车场,公共停车场,绍兴路158号,下城区, Distance: 18915
	- POI: 海外海国际会议中心停车场,交通设施服务,停车场,公共停车场,上塘路333号,拱墅区, Distance: 20371
	- POI: 海外海国际会议中心停车场,交通设施服务,停车场,公共停车场,上塘路329号1幢附近,拱墅区, Distance: 20413
	- POI: 海外海国际会议中心停车场(入口),交通设施服务,停车场,停车场入口,德胜路341号附近,拱墅区, Distance: 20414
	- POI: 海外海国际会议中心停车场(出口),交通设施服务,停车场,停车场出口,石灰坝34号附近,拱墅区, Distance: 20427
	- POI: 保利湾天地-东停车场,交通设施服务,停车场,停车场相关,下沙经济技术开发区保利湾天地,江干区, Distance: 165
	- POI: 保利·东湾西区停车场(南出入口),交通设施服务,停车场,停车场出入口,白杨街道24号大街保利东湾(西区),江干区, Distance: 244
	- POI: 保利·东湾西区停车场(西出入口),交通设施服务,停车场,停车场出入口,白杨街道22号大街保利东湾西区西门,江干区, Distance: 287
	- POI: 停车场(保利·江语海北),交通设施服务,停车场,路边停车场,学正街南150米,江干区, Distance: 4248
	- POI: 停车场(保利·江语海东北),交通设施服务,停车场,路边停车场,之江东路西200米,江干区, Distance: 4257
	- POI: 保利·东湾东区东三停车场(南出入口),交通设施服务,停车场,停车场出入口,之江东路西150米,江干区, Distance: 479
	- POI: 杭州保利国际娱乐会所,体育休闲服务,娱乐场所,KTV,建国中路217号(庆春路口),上城区, Distance: 18335
Query: 星光荟对面美术, Truth: 中国美术学院象山中心校区-美术教育系,科教文化服务,学校,高等院校,转塘镇中国美术学院象山中心校区,西湖区, Distance: 524
	- POI: 嗨漾自助美食(星光国际公馆·上座),餐饮服务,中餐厅,中餐厅,江南大道228号星光国际广场1号楼4层(中影影城对面),滨江区, Distance: 13607
	- POI: 京东派(浙江美术学院象山校区店),购物服务,购物相关场所,购物相关场所,转塘街道珍香妈妈菜(转塘店)对面美术学院,西湖区, Distance: 198
	- POI: 美术宝学员服务中心,生活服务,生活服务场所,生活服务场所,转塘街道转塘新村17号公交站对面,西湖区, Distance: 316
	- POI: 漫森美业(星光店),生活服务,美容美发店,美容美发店,星光大道星光国际公馆3幢718室(广场中心麦当劳附近),滨江区, Distance: 13588
	- POI: 艺术合子美术教育,科教文化服务,培训机构,培训机构,转塘里街37号附近,西湖区, Distance: 170
	- POI: 杭州麦田美术培训中心,科教文化服务,培训机构,培训机构,双浦镇袁浦中学对过,西湖区, Distance: 6783
	- POI: 浙江省民间美术家协会理事单位,政府机构及社会团体,社会团体,行业协会,梦园街与集贸路交叉口南50米,西湖区, Distance: 68
	- POI: 龚琛晨钢琴艺术中心(滨江星光大道中心),科教文化服务,科教文化场所,科教文化场所,江晖路星光大道1期301,滨江区, Distance: 13580
	- POI: 味千拉面(星光国际公馆·上座),餐饮服务,中餐厅,中餐厅,江南大道228号星光国际公馆·上座F2层,滨江区, Distance: 13581
	- POI: 杨梅红国际私立美校(星光广场店),生活服务,生活服务场所,生活服务场所,江南大道228号星光国际广场一期2层,滨江区, Distance: 13590
	- POI: 玩彩坊美甲(星光国际店),生活服务,美容美发店,美容美发店,江南大道228号星光国际广场3号楼1501室,滨江区, Distance: 13592
	- POI: 星光大道警务室,政府机构及社会团体,公检法机构,社会治安机构,江南大道228号星光国际公馆1幢对面,滨江区, Distance: 13605
	- POI: 鱼舍(星光国际公馆·上座),餐饮服务,外国餐厅,日本料理|餐饮服务,外国餐厅,泰国/越南菜品餐厅,江南大道228号星光国际广场1-402号(必胜客肯德基楼上4层中影国际影城对面),滨江区, Distance: 13615
	- POI: 一点点（星光大道店）,餐饮服务,餐饮相关场所,餐饮相关,星光大道国际广场D07(必胜客对面),滨江区, Distance: 13617
	- POI: 韩医美-科技美容全国连锁(星光大道店),生活服务,生活服务场所,生活服务场所,星光大道星光国际广场1幢18楼1819室,滨江区, Distance: 13617
	- POI: 食蜀上麻辣香锅(星光物美店),餐饮服务,中餐厅,中餐厅,长河街道江南大道228号星光国际广场地下一层商铺31号,滨江区, Distance: 13620
	- POI: 町炖·南洋荟(星光国际广场4幢),餐饮服务,外国餐厅,泰国/越南菜品餐厅,江南大道228号星光国际广场4幢F2层,滨江区, Distance: 13635
	- POI: 精锐1对1(星光国际广场店),科教文化服务,培训机构,培训机构,江南大道228号星光国际广场3层,滨江区, Distance: 13641
	- POI: 成喜屋日本料理(星光店),餐饮服务,外国餐厅,外国餐厅,星光大道一期4幢107星飞路上(盾安大厦对面),滨江区, Distance: 13643
	- POI: 星光美食广场,餐饮服务,中餐厅,中餐厅,泰安路9号星光中心6层,滨江区, Distance: 13730
Query: 桂花西路与新兴路交叉口西200米银行, Truth: 华夏银行(富阳支行),金融保险服务,银行,华夏银行,桂花西路82号,富阳区, Distance: 29378
	- POI: 新兴路与桂花西路交叉口,地名地址信息,交通地名,路口名,富阳区,富阳区, Distance: 29324
	- POI: 新兴西路与新兴路交叉口,地名地址信息,交通地名,路口名,富阳区,富阳区, Distance: 49803
	- POI: 新兴路与葛溪西路交叉口,地名地址信息,交通地名,路口名,富阳区,富阳区, Distance: 49803
	- POI: 葛溪东路与新兴路十五弄交叉口,交通设施服务,交通服务相关,交通服务相关,新兴路十五弄与葛溪西路交叉口北50米,富阳区, Distance: 49938
	- POI: 新兴路九弄与葛溪西路交叉口,地名地址信息,交通地名,路口名,富阳区,富阳区, Distance: 49881
	- POI: 凤溪路与新兴路交叉口,地名地址信息,交通地名,路口名,余杭区,余杭区, Distance: 18231
	- POI: 新兴路与新窑路交叉口,地名地址信息,交通地名,路口名,余杭区,余杭区, Distance: 18405
	- POI: 大桥南路与新兴路交叉口,地名地址信息,交通地名,路口名,余杭区,余杭区, Distance: 18589
	- POI: 桂花西路与桂花路交叉口,地名地址信息,交通地名,路口名,富阳区,富阳区, Distance: 28989
	- POI: 桂花西路与苋浦路交叉口,地名地址信息,交通地名,路口名,富阳区,富阳区, Distance: 29163
	- POI: 桂花西路与迎春路交叉口,地名地址信息,交通地名,路口名,富阳区,富阳区, Distance: 29483
	- POI: 春秋北路与桂花西路交叉口,地名地址信息,交通地名,路口名,富阳区,富阳区, Distance: 29553
	- POI: 春秋南路与桂花西路交叉口,地名地址信息,交通地名,路口名,富阳区,富阳区, Distance: 29560
	- POI: 可乐豆豆母婴用品店,购物服务,专卖店,专营店,竟舟路沁雅花园南门(近文三西路),西湖区, Distance: 0
	- POI: 新兴东路与新兴路交叉口,地名地址信息,交通地名,路口名,富阳区,富阳区, Distance: 49498
	- POI: 新兴路五弄与葛溪西路交叉口,地名地址信息,交通地名,路口名,富阳区,富阳区, Distance: 49847
	- POI: 新兴路十五弄与葛溪西路交叉口,地名地址信息,交通地名,路口名,富阳区,富阳区, Distance: 49942
	- POI: 创业路与新兴路交叉口,地名地址信息,交通地名,路口名,桐庐县,桐庐县, Distance: 72591
	- POI: 新兴路与新兴路九弄交叉口,地名地址信息,交通地名,路口名,富阳区,富阳区, Distance: 49768
	- POI: 新兴路与旺园路交叉口,地名地址信息,交通地名,路口名,萧山区,萧山区, Distance: 19612
Query: 紫金路东侧风尚4, Truth: 锋尚苑4幢,地名地址信息,门牌信息,楼栋号,文三西路499号文三西路与紫荆花路交叉口往西约100米锋尚苑,西湖区, Distance: 14470
	- POI: 紫荆公园-紫金文化公园,风景名胜,公园广场,公园,丽水路与大浒街交叉口东100米,拱墅区, Distance: 16290
	- POI: 江城路东侧地上停车场(出入口),交通设施服务,停车场,停车场出入口,上仓桥路与江城路交叉口东北150米,上城区, Distance: 7176
	- POI: 采荷路东侧占道停车场,交通设施服务,停车场,路边停车场|交通设施服务,停车场,公共停车场,采荷路,江干区, Distance: 9780
	- POI: 采荷东路东侧-占道停车场,交通设施服务,停车场,公共停车场|交通设施服务,停车场,路边停车场,采陵东路,江干区, Distance: 10103
	- POI: 双菱路东侧-占道停车场,交通设施服务,停车场,路边停车场,双菱路与庆春东路交叉口南100米,江干区, Distance: 10286
	- POI: 方家北路东侧-占道停车场,交通设施服务,停车场,停车场相关,古墩路与方家北路交叉口东100米,西湖区, Distance: 17145
	- POI: 风尚美发(天城东路),生活服务,美容美发店,美容美发店,下沙天城东路236号,江干区, Distance: 21414
	- POI: 风尚广告,生活服务,生活服务场所,生活服务场所,体育场路155号-4,富阳区, Distance: 26710
	- POI: 中旅·紫金名门(南门),通行设施,临街院门,临街院门,双港路与振华路交叉口东150米,西湖区, Distance: 18950
	- POI: 中旅·紫金名门停车场,交通设施服务,停车场,专用停车场,双港路与振华路交叉口东150米,西湖区, Distance: 18967
	- POI: 俏喜鹊风尚料理,餐饮服务,外国餐厅,韩国料理,浦沿路773号盒座社4层401-1,滨江区, Distance: 3013
	- POI: 和顺风尚蓝湾(东门),通行设施,临街院门,临街院正门,西浦路1569号,滨江区, Distance: 4162
	- POI: 之江路复兴大桥东侧自行车租赁点,生活服务,生活服务场所,生活服务场所,中河高架附近,上城区, Distance: 5235
	- POI: 紫金社区(东1门),通行设施,临街院门,临街院门,皮市巷219号附近,上城区, Distance: 10116
	- POI: 杭州市西溪湿地紫金港校区公寓竞舟路分店,商务住宅,商务住宅相关,商务住宅相关,竞舟路1号筑品金座,西湖区, Distance: 13269
	- POI: 中国信合24小时自助银行(浦沿支行浦东分理处),金融保险服务,自动提款机,农村商业银行ATM,萧闻路与西湘路交叉口东150米,滨江区, Distance: 450
	- POI: 西兰风尚酒店(城西银泰店),住宿服务,宾馆酒店,宾馆酒店,古墩路同人精华A幢1楼600-1号,西湖区, Distance: 16858
	- POI: 紫金港商务大厦停车场(入口),交通设施服务,停车场,停车场入口,古墩路656号,西湖区, Distance: 17160
	- POI: 紫金港商务大厦停车场,交通设施服务,停车场,公共停车场,古墩路656号紫金港商务大厦1-2层附近,西湖区, Distance: 17183
	- POI: 紫金港商务大厦停车场,交通设施服务,停车场,公共停车场,古墩路656号,西湖区, Distance: 17219
Query: 爱国主题公园旁停车场, Truth: 停车场(行知中学西),交通设施服务,停车场,路边停车场,大关苑路与苑中路交叉口北50米,拱墅区, Distance: 719
	- POI: 停车场(下城区朝晖文化主题公园西南),交通设施服务,停车场,路边停车场,华园弄与文昌巷交叉口西北50米,下城区, Distance: 2168
	- POI: 爱国主题公园,风景名胜,公园广场,公园,大关苑路西4附近,拱墅区, Distance: 757
	- POI: 杭州城北体育公园停车场(俞家路),交通设施服务,停车场,路边停车场,绍兴路510-7号附近,下城区, Distance: 573
	- POI: 杭州城北体育公园停车场(沿塘路),交通设施服务,停车场,路边停车场,白石路36号附近,下城区, Distance: 747
	- POI: 埃福尔主题酒店地上停车场(出入口),交通设施服务,停车场,停车场出入口,霞湾路79号,拱墅区, Distance: 1249
	- POI: 大关南九苑1号,商务住宅,住宅区,住宅小区,香积寺路大关南九苑1幢,拱墅区, Distance: 0
	- POI: 杭州满陇桂雨公园停车场,交通设施服务,停车场,公共停车场,虎跑路61号,西湖区, Distance: 9975
	- POI: 杭州少年儿童公园停车场,交通设施服务,停车场,公共停车场,虎跑路61号,西湖区, Distance: 10045
	- POI: 杭州少年儿童公园停车场,交通设施服务,停车场,公共停车场,虎跑路15号,西湖区, Distance: 10049
	- POI: 少儿儿童公园停车场,交通设施服务,停车场,公共停车场,古井三路与虎跑路交叉口南50米,西湖区, Distance: 10149
	- POI: 少儿儿童公园停车场(出入口),交通设施服务,停车场,停车场出入口,古井三路与虎跑路交叉口南50米,西湖区, Distance: 10149
	- POI: 少年儿童公园停车场(出入口),交通设施服务,停车场,停车场出入口,虎跑路61号满陇桂雨公园-停车场内,西湖区, Distance: 10170
	- POI: 少年儿童公园停车场,交通设施服务,停车场,公共停车场,古井三路与虎跑路交叉口西南100米,西湖区, Distance: 10174
	- POI: 八卦田遗址公园停车场,交通设施服务,停车场,公共停车场,白云路与虎玉路交叉口东南50米,上城区, Distance: 10664
	- POI: 白塔公园停车场,交通设施服务,停车场,公共停车场,老复兴街16号附近,上城区, Distance: 11612
	- POI: 杭州白塔公园停车场(出入口),交通设施服务,停车场,停车场出入口,老复兴街12号附近,上城区, Distance: 11670
	- POI: 杭州白塔公园停车场,交通设施服务,停车场,公共停车场,老复兴街12号附近,上城区, Distance: 11674
	- POI: 白塔公园停车场,交通设施服务,停车场,公共停车场,老复兴街2号附近,上城区, Distance: 11742
	- POI: 海纳百川休闲主题酒店停车场(出口),交通设施服务,停车场,停车场出口,留石高架路入口与石祥路交叉口西北100米,拱墅区, Distance: 2842
	- POI: 停车场(旋舞之风游乐公园东北),交通设施服务,停车场,路边停车场,金城路625号,萧山区, Distance: 16765
Query: 联庄过渡房斜对面大厦停车场出入, Truth: 彩宏大厦停车场(出入口),交通设施服务,停车场,停车场出入口,滨文路354号附近,滨江区, Distance: 18059
	- POI: 头格临江大厦停车场(出入口),交通设施服务,停车场,停车场出入口,支路与月雅路交叉口北100米,江干区, Distance: 255
	- POI: 头格过渡房2区23-1号,地名地址信息,门牌信息,楼栋号,江干区,江干区, Distance: 1
	- POI: 东联大厦停车场(出入口),交通设施服务,停车场,停车场出入口,建国北路268号附近,下城区, Distance: 12231
	- POI: 上沙永裕大厦停车场(出入口),交通设施服务,停车场,停车场出入口,天城东路252号附近,江干区, Distance: 2570
	- POI: 新徽商财富大厦停车场(出入口),交通设施服务,停车场,停车场出入口,兴业街与新汇路交叉口南50米,下城区, Distance: 10577
	- POI: 中澳大厦停车场(出入口),交通设施服务,停车场,停车场出入口,杭海路1179号附近,江干区, Distance: 3806
	- POI: 中澳大厦停车场(出入口),交通设施服务,停车场,停车场出入口,九和路与杭海路交叉口北150米,江干区, Distance: 3815
	- POI: 文渊大厦停车场(出入口),交通设施服务,停车场,停车场出入口,文渊路207号附近,江干区, Distance: 4030
	- POI: 富春大厦停车场(出入口),交通设施服务,停车场,停车场出入口,清泰街509号,上城区, Distance: 13462
	- POI: 鑫牛大厦停车场(出入口),交通设施服务,停车场,停车场出入口,九环路7号附近,江干区, Distance: 4714
	- POI: 鑫牛大厦停车场(出入口),交通设施服务,停车场,停车场出入口,九和路与九环路交叉口西北150米,江干区, Distance: 4721
	- POI: 永和大厦停车场(出入口),交通设施服务,停车场,停车场出入口,永玄路74号附近,余杭区, Distance: 6816
	- POI: 永顺三好大厦停车场(出入口),交通设施服务,停车场,停车场出入口,乔莫西路158号附近,余杭区, Distance: 6926
	- POI: 天翔·凤起时代大厦停车场(出入口),交通设施服务,停车场,停车场出入口,广场三号支路与广场三号路交叉口西北50米,江干区, Distance: 9981
	- POI: 杭钻大厦停车场(出入口),交通设施服务,停车场,停车场出入口,凯旋路与华池北路交叉口西100米,江干区, Distance: 11191
	- POI: 永安大厦·金鑫大厦停车场(出入口),交通设施服务,停车场,停车场出入口,迎宾路355号附近,余杭区, Distance: 12029
	- POI: 华源发展大厦停车场(出入口),交通设施服务,停车场,停车场出入口,环城北路119号附近,下城区, Distance: 12224
	- POI: 诚信大厦停车场(出入口),交通设施服务,停车场,停车场出入口,建国北路236号,下城区, Distance: 12280
	- POI: 开元加州大厦停车场(出入口),交通设施服务,停车场,停车场出入口,金城路333号lse城市生活广场B1,萧山区, Distance: 13384
	- POI: 康恩贝大厦停车场(出入口),交通设施服务,停车场,停车场出入口,新月路康恩贝大厦(苏泊尔大厦东50米),滨江区, Distance: 13403
Query: 西园二路西侧工业办公楼, Truth: 庆丰工业楼,商务住宅,楼宇,工业大厦建筑物,西园九路2-1号,西湖区, Distance: 26728
	- POI: 康达南路商业办公楼,商务住宅,楼宇,商务写字楼,富春街道朝阳弄,富阳区, Distance: 33540
	- POI: 浙江工业大学海洋学院-办公楼,科教文化服务,科教文化场所,科教文化场所,德胜立交桥与德胜路交叉口北150米,拱墅区, Distance: 19230
	- POI: 杭州呢卫正汽车有限公司商业办公楼,商务住宅,楼宇,商务写字楼,东西大道与华一路交叉口西南150米,余杭区, Distance: 31334
	- POI: 浙江经济管理职工大学翠苑校区办公楼,科教文化服务,学校,成人教育|科教文化服务,学校,高等院校,翠柏路14附近,西湖区, Distance: 20753
	- POI: 杭州万向职业技术学院教学办公楼(东南门),通行设施,建筑物门,建筑物门,花坞路西100米,西湖区, Distance: 21832
	- POI: 杭州万向职业技术学院教学办公楼(东北门),通行设施,建筑物门,建筑物门,花坞路西50米,西湖区, Distance: 21845
	- POI: 杭州万向职业技术学院教学办公楼,科教文化服务,学校,学校,花坞路西100米,西湖区, Distance: 21848
	- POI: 杭州万向职业技术学院教学办公楼3号楼,地名地址信息,门牌信息,楼栋号,花坞路西100米,西湖区, Distance: 21856
	- POI: 西园二路灯彩街口(公交站),交通设施服务,公交车站,公交车站相关,303B路,西湖区, Distance: 27052
